,Road,Name,LRP,Offset,Chainage,LRP_2,Offset_2,Chainage_2,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),type,identified_roads,base_road,condition,lat,lon
5913,,KINDAPARA BOX CULVERT,,,6.165,,,,,,,,,,,,,,,,,,,,,,bridge,,R202,A,23.7820495082039,90.5142556560975
5914,,KANDAPARA BOX CULVERT,,,6.61,,,,,,,,,,,,,,,,,,,,,,bridge,,R202,A,23.7795827676274,90.5113229975609
5915,,KANCHAR BO BOX CULVERT,,,6.96,,,,,,,,,,,,,,,,,,,,,,bridge,,R202,A,23.7776426345898,90.5090164121951
5916,R203-1,Bhulta(int.with N2)-Araihazar(int.with R114),LRPS,0,0.0,LRP005,4060,9.1,9.100,0.0,204.0,155.0,0.0,127.0,196.0,53.0,120.0,2110.0,409.0,249.0,429.0,0.0,3374.0,678.0,4052.0,4052.0,road,"['N2', 'R114']",R203,,23.7856108,90.5705549
5917,,BHULTA BOX CULVERT,,,0.263,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7845254720661,90.5728621763636
5918,,BHULTA-1-BOX CULVERT,,,0.865,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7841386,90.5787771
5919,,KATRA BOX CULVERT,,,1.298,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7838950490322,90.5829312419354
5920,,KATHRA-2-SLAB CULVERT,,,1.827,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7844088968115,90.5879045847826
5921,,KATHRA-3-BOX CULVERT,,,2.867,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7872903755681,90.5972971431818
5922,,DUKTARA BOX CULVERT,,,3.843,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,B,23.7912610110344,90.6069366337931
5923,,Kalibari Bridge.,,,4.361,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.7920792887755,90.6094645989796
5924,,KALIBARI RCC GIDER BRIDGE,,,4.361,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.7920792887755,90.6094645989796
5925,,KALIBARI BOX CULVERT,,,4.43,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7940859034482,90.6081197724138
5926,,Bainair Char Bridge,,,5.085,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7935482964285,90.6166921178571
5927,,KALIBARI BAILEY WITH STEEL DECK,,,5.085,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.7935482964285,90.6166921178571
5928,,FAKIRBARI BOX CULVERT,,,7.554,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7893537498257,90.6389596268292
5929,,JAWARA BOX CULVERT,,,8.503,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7891945481203,90.6480852398496
5930,R203-2,Araihazar(int.with R114)-Biskandi Ferry ghat,LRP005,4060,9.1,LRP014,4124,18.14,9.040,0.0,204.0,155.0,0.0,127.0,196.0,53.0,120.0,2110.0,409.0,249.0,429.0,0.0,3374.0,678.0,4052.0,4052.0,road,['R114'],R203,,23.7893886,90.6542222
5931,,ARAIHAZAR BAZAR BOX CULVERT,,,9.128,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7893626533333,90.65448148
5932,,Arihazar,,,10.118,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.78818486,90.6624518466666
5933,,Araihazar Bridge,,,10.118,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,D,23.78818486,90.6624518466666
5934,,BOGADIH RCC GIDER BRIDGE,,,11.496,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.78841222,90.6755572787755
5935,,BOGADIH-1-SLAB CULVERT,,,12.035,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7880709840909,90.6804728181818
5936,,BOGADIH SLAB CULVERT,,,12.435,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7886556211297,90.6844510056485
5937,,SADADIA BAILEY WITH STEEL DECK,,,13.964,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.7907231159496,90.6980635101783
5938,,Ramchandradi Bridge,,,15.057,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.7906431797619,90.7080909166666
5939,,Daribisnondi,,,17.764,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,D,23.770378904015,90.722045316813
5940,R203-3,Biskandi Ferry ghat- Bancharampur(int.with Z1043),LRP014,4124,18.14,LRP028,142,28.552,10.412,0.0,204.0,155.0,0.0,127.0,196.0,53.0,120.0,2110.0,409.0,249.0,429.0,0.0,3374.0,678.0,4052.0,4052.0,road,['Z1043'],R203,,23.7686104,90.7249993
5941,,Bisnandi Bailey,,,18.146,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.7685912455172,90.7250488224137
5942,R203-4,Bancharampur(int.with Z1043)-Fathepur more(int.with Z1042),LRP028,142,28.552,LRP028,4016,32.426,3.874,0.0,22.0,20.0,0.0,0.0,25.0,12.0,19.0,1361.0,173.0,227.0,271.0,0.0,1632.0,498.0,2130.0,2130.0,road,"['Z1043', 'Z1042']",R203,,23.7775549,90.7948608
5943,,BANCHRAMPUR-1-SLAB CULVERT,,,31.919,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7791433147887,90.8241744338028
5944,,BANCHARAMPUR-2-SLAB CULVERT,,,32.17,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7797819746031,90.8222072920635
5945,R203-5,Fathepur more(int.with Z1042)-Nabinagar (Int.with Z1206),LRP028,4016,32.426,LRP050b,4215,55.337,22.911,0.0,22.0,20.0,0.0,0.0,25.0,12.0,19.0,1361.0,173.0,227.0,271.0,0.0,1632.0,498.0,2130.0,2130.0,road,"['Z1042', 'Z1206']",R203,,23.7809716,90.8283882
5946,,BNCHARAMPUR-3-SLAB CULVERT,,,33.27,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7879474877551,90.8270911877551
5947,,BANCHRAMPUR RCC GIDER BRIDGE,,,33.361,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,B,23.7889202857142,90.8269953857142
5948,,Primari school Bridge,,,33.361,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.7889202857142,90.8269953857142
5949,,BANCHRAMPUR-5- SLAB CULVERT,,,33.654,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.7908606664,90.8278452336
5950,,Uttor Banohram,,,34.136,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.7936589656,90.8296259344
5951,,Uttor Banch zampur (2),,,35.165,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.7993962671736,90.835901573891
5952,,Dammadona Bridge,,,35.165,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.7993962671736,90.835901573891
5953,,Sonarampur,,,35.522,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8020519704,90.8371446
5954,,Sonarampur Bridge,,,35.522,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,D,23.8020519704,90.8371446
5955,,Sonarampur,,,35.801,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8038422297,90.83902785
5956,,Sonarampur Bridge-2,,,36.699,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8084212394241,90.8451152413067
5957,,Sonarampur,,,36.699,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8084212394241,90.8451152413067
5958,,Sonarampur (2),,,37.369,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8061335196013,90.8509688747508
5959,,Sonarampur Bazar Bridge,,,37.508,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8056589031007,90.8521832852713
5960,,SONARAMPUR BARAZ RCC GIDER BRIDGE,,,37.508,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8056589031007,90.8521832852713
5961,,KADAMTOLI-1-BOX CULVERT,,,38.069,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8030280566,90.8595837085
5962,,KADAMTOLI-2-BOX CULVERT,,,38.159,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8026030586,90.8607812035
5963,,Kadamtoli(3),,,38.525,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8008864832,90.8656261813
5964,,Kadantoli (4),,,39.026,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8004828776,90.8681447583999
5965,,SUTIKANDI-1-BOX CULVERT,,,39.627,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.7997969776315,90.871552868421
5966,,Sutikandi,,,39.826,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.7993017640625,90.873310121875
5967,,Pahariakandi Bridge,,,40.708,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.80406945,90.87652715
5968,,Pairakandi,,,40.708,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.80406945,90.87652715
5969,,PAIRAKANDI-1-SLAB CULVERT,,,40.995,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,B,23.8041693205405,90.8791694167567
5970,,Pairakandi (3),,,41.217,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8044192805405,90.8812527367567
5971,,Pairakandi (3),,,41.731,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8061980355742,90.8847883507002
5972,,Araillah Bridge,,,42.288,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8110815617582,90.8854353931868
5973,,Pairakandi,,,42.288,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8110815617582,90.8854353931868
5974,,Pairakandi (3),,,42.63,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,B,23.8129319251063,90.8866619634042
5975,,Pairakandi (5),,,43.814,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,B,23.8189123855813,90.8925570274418
5976,,Pairakandi(5),,,44.058,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,B,23.8207354499999,90.8933469
5977,,SOLIMGONJ RCC GIDER BRIDGE,,,44.501,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.821161979076,90.8971205918478
5978,,Solimgonj,,,45.003,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.824792983175,90.8983353105834
5979,,SOLINGONJ SLAB CULVERT,,,45.475,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.8289913495251,90.8986733317503
5980,,ULASING SLAB CULVERT,,,48.595,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.829958783391,90.9260008989619
5981,,ULASINEY-1- SLAB CULVERT,,,49.11,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,B,23.8297937695501,90.9306706480968
5982,,ULASING-2- RCC GIDER BRIDGE,,,49.429,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8297064760869,90.9335652184782
5983,,Srighor Bridge,,,49.429,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,D,23.8297064760869,90.9335652184782
5984,,BAGAHARI RCC GIDER BRIDGE,,,49.771,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8298746800781,90.9368622207031
5985,,BOGAHARI-1- SLAB CULVERT,,,49.985,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.8298630605468,90.9389404449218
5986,,BOGAHALI-3- SLAB CULVERT,,,50.054,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8298604,90.9395645
5987,,BOGAHARI-4-SLAB CULVERT,,,50.749,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.833309829558,90.9443932585635
5988,,Shaymsam Bazar Bridge,,,51.727,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8395915345132,90.9511882349557
5989,,SHAMGRAM RCC GIDER BRIDGE,,,51.727,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8395915345132,90.9511882349557
5990,,Shaymsam Bazar Bridge-2,,,52.421,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8439356678571,90.9557112875
5991,,SHAMGRAM-1-RCC GIDER BRIDGE,,,52.421,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8439356678571,90.9557112875
5992,,SHAMGRAM-3- SLAB CULVERT,,,52.577,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.8448934211805,90.9567387954861
5993,,Shyamgram Bridge,,,52.707,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8456896260416,90.9575914239583
5994,,Shamgram (3),,,52.707,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8456896260416,90.9575914239583
5995,,Della para Bridge,,,52.956,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8472146645833,90.9592245354166
5996,,Momtazer Bari,,,52.956,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8472146645833,90.9592245354166
5997,,NAKAL PARA SLAB CULVERT,,,53.712,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.852473544186,90.9637441976744
5998,,Rasullullahbad,,,54.302,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8560093551219,90.9661409736585
5999,,Shamgram (3),,,54.512,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8567737016393,90.9673003508196
6000,,MOMTAZBARI SLAB CULVERT,,,54.831,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8576452863387,90.9694502365027
6001,,Momtazer Bathroom,,,55.224,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,D,23.8587190568306,90.9720988417486
6002,R203-6,Nabinagar (Int.with Z1206)-Radhika(int.with N102),LRP050b,4215,55.337,LRPE,0,76.197,20.860,0.0,22.0,20.0,0.0,0.0,25.0,12.0,19.0,1361.0,173.0,227.0,271.0,0.0,1632.0,498.0,2130.0,2130.0,road,"['Z1206', 'N102']",R203,,23.8590278,90.9728604
6003,,Rasullabad Mosgid Bridge,,,56.189,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8666615599502,90.9733272007462
6004,,RASULLABAG RCC GIDER BRIDGE,,,56.189,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8666615599502,90.9733272007462
6005,,RASULLA SLAB CULVERT,,,56.5,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8693913038834,90.9730681763754
6006,,Rasullah bat Bridge-2,,,56.709,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8712137635922,90.9728051339805
6007,,SONAPUR RCC GIDER BRIDGE,,,56.709,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8712137635922,90.9728051339805
6008,,NAKAL PARA BOX CULVERT,,,57.066,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8743535955223,90.9724993
6009,,FOTICHARI BOX CULVERT,,,57.445,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.87627712,90.9736049
6010,,Rasullallah,,,57.552,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.876085348387,90.9746531548387
6011,,Bhanga pur Bridge.,,,57.788,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8756623754838,90.9769651935483
6012,,JAMUNA RCC GIDER BRIDGE,,,57.788,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8756623754838,90.9769651935483
6013,,DARISRAMPUR BOX CULVERT,,,58.524,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,A,23.8740339950236,90.9829225146919
6014,,DARIRAMPUR RCC GIDER BRIDGE,,,59.015,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.874034884,90.988041888
6015,,SIRIRAMPUR BOX CULVERT,,,59.64,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8729629778181,90.9936497523636
6016,,KATALCHORI BOX CULVERT,,,60.494,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8707969972,91.0000877492
6017,,SRIRAMPUR RCC GIDER BRIDGE,,,60.627,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.870420155,91.0009818549999
6018,,Tulshimuri Bridge,,,60.627,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,D,23.870420155,91.0009818549999
6019,,SRIRAMPUR RCC GIDER BRIDGE,,,61.052,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8694933430107,91.0041105494623
6020,,SriRampur Bridge,,,61.052,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,D,23.8694933430107,91.0041105494623
6021,,SRIRAMPUR SLAB CULVERT,,,61.273,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8694801780645,91.0061964567741
6022,,Momtazer Guwalgor,,,62.956,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8684885929411,91.0222767541176
6023,,Aliabad Market,,,63.919,,,,,,,,,,,,,,,,,,,,,,bridge,,R203,C,23.8701982095082,91.0312938272131
