Road,Name,LRP,Offset,Chainage,LRP_2,Offset_2,Chainage_2,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),type,identified_roads,base_road,condition,lat,lon,Type,Connected_Road1,Connected_Road2,Connected_Road3
,Ashariarchar Bridge(R),,,22.596,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.6176407964705,90.6095506105882,Bridge,,,
,Asharirchar-2 Bridge.(R),,,23.081,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.613587384385,90.6109029561497,Bridge,,,
,Ashariachar-2 Bridge.(L),,,23.081,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.613587384385,90.6109029561497,Bridge,,,
,ASHARIR CHAR (L),,,23.081,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.613587384385,90.6109029561497,Bridge,,,
,ASHIR CHAR (R),,,23.081,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,B,23.613587384385,90.6109029561497,Bridge,,,
N1-9L,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left),LRP022,1935.0,23.564,LRP031,162.0,30.936,7.372,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,road,[],N1,,23.6095556,90.6121944,Intersection,z1063,,
N1-9R,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Right),LRP022,1935.0,23.564,LRP031,162.0,30.936,7.372,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,road,[],N1,,23.6095556,90.6121944,Intersection,z1063,,
,Meghna Bridge,,,24.393,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.6027595885583,90.6155316965675,Bridge,,,
,MEGHNA BRIDGE,,,24.393,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,C,23.6027595885583,90.6155316965675,Bridge,,,
,TATULTALA CULVERT,,,26.115,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5929818827893,90.6279699370919,Bridge,,,
,BAILAKANDI CULVERT,,,26.452,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5908088547468,90.6302368598101,Bridge,,,
,MALUAKANDI CULVEDRT,,,27.12,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.58631812254,90.6345094207093,Bridge,,,
,Bhater char Bridge (L),,,28.315,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5779800248475,90.6419193089939,Bridge,,,
,Bhater char Bridge (R),,,28.315,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5779800248475,90.6419193089939,Bridge,,,
,BHATIR CHAR BRIDGE,,,28.315,,,,,,,,,,,,,,,,,,,,,,bridge,,N1,A,23.5779800248475,90.6419193089939,Bridge,,,
